person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos
003a05bf,87,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,32.0,10000.0,3.0,1.0,14.0,0.0,1.0,0.0,0.0,1000.0,1000.0,4
003d07ef,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,10000.0,1.0,0.0,10000.0,0.0,1.0,0.0,0.0,1000.0,1000.0,1
003e7507,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,17.0,1000.0,3
00408349,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10000.0,2.0,1.0,16.0,0.0,1.0,0.0,6.0,2.0,1000.0,3
0041fec6,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,10000.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,11.0,10.0,5
0043a48e,34,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.6,14.0,17.0,16.0,0.0,1.0,16.0,0.0,1.0,0.0,3.0,15.0,14.0,2
00546f4c,480,4.0,1.0,1.0,0.0,2.0,0.0,13.0,0.0,1.0,1.0,1.0,0.8,1.0,149.0,12.0,11.0,1.0,12.0,1.0,1.0,0.0,24.0,38.0,12.0,12
00556ee5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,104.0,10000.0,1.0,1.0,17.0,0.0,1.0,0.0,6.0,17.0,17.0,3
0059a996,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,1.0,6.0,1000.0,5
005af223,79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,90.0,10000.0,14.0,1.0,21.0,0.0,1.0,0.0,18.0,18.0,50.0,5
005e06ef,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,10000.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,3
0061cbe8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,1.0,4.0,1000.0,1
006549da,85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,10000.0,3.0,1.0,13.0,1.0,0.0,0.0,3.0,13.0,13.0,11
006bb312,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1000.0,8.0,1
006cabc5,108,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,146.0,10000.0,1.0,1.0,52.0,1.0,0.0,0.0,1.0,146.0,1000.0,12
006e1534,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,4.0,6.0,1000.0,2
006fc943,268,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,44.0,10000.0,10.0,1.0,41.0,0.0,1.0,0.0,49.0,11.0,11.0,6
00750af8,92,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,7.0,71.0,8.0,8.0,1.0,8.0,0.0,1.0,0.0,5.0,8.0,8.0,7
00754f5e,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,1.0,17.0,1.0,0.0,0.0,4.0,17.0,1000.0,2
0076b7dc,85,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0,64.0,12.0,9.0,1.0,12.0,0.0,1.0,0.0,10.0,11.0,12.0,4
007743ca,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,1.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,1
007a0564,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,6.0,6.0,2
0081cd73,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,17.0,1000.0,3
0081f590,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,15.0,15.0,2
008287e4,89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,125.0,10000.0,3.0,1.0,14.0,1.0,0.0,0.0,4.0,14.0,13.0,11
0083c22c,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,3.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,2
0087d959,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,3.0,4.0,1000.0,9
0089421c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,10000.0,3.0,0.0,10000.0,0.0,1.0,0.0,3.0,48.0,1000.0,1
008a6d00,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10000.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,9.0,1000.0,5
008b4a48,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1000.0,10.0,1
008f480f,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,25.0,1000.0,2
008f739f,101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,88.0,10000.0,4.0,1.0,15.0,1.0,0.0,0.0,12.0,9.0,14.0,6
009648f0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,49.0,1000.0,4
00970caa,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1000.0,2
009944e1,157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,144.0,17.0,5.0,1.0,17.0,1.0,0.0,0.0,11.0,94.0,1000.0,14
009f8292,29,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4,10.0,70.0,10.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1000.0,1000.0,2
00a2efc2,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10000.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,1000.0,2
00af50bb,77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,10000.0,1.0,1.0,16.0,0.0,1.0,0.0,7.0,53.0,114.0,8
00b0fe02,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,2.0,0.0,14.0,0.0,0.0,1.0,2.0,14.0,1000.0,1
00b1b9d0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,10000.0,6.0,1.0,10000.0,0.0,1.0,0.0,16.0,1.0,1000.0,11
00b5303d,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,1000.0,3
00b6642b,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1000.0,1000.0,3
00b8bba9,80,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,10000.0,3.0,1.0,9.0,0.0,1.0,0.0,3.0,11.0,11.0,5
00caa482,300,4.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.8,2.0,99.0,15.0,7.0,1.0,15.0,1.0,0.0,0.0,44.0,2.0,9.0,11
00cd1373,132,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4,2.0,13.0,4.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,4.0,8
00cde0db,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10000.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1000.0,3
00d618ba,316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,10000.0,18.0,1.0,7.0,1.0,0.0,0.0,10.0,3.0,11.0,21
00d8d869,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,4
00dcc618,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1000.0,3
00e0e219,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,10000.0,0.0,1.0,17.0,1.0,0.0,0.0,3.0,17.0,1000.0,2
00e2e06b,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,44.0,10000.0,6.0,1.0,17.0,0.0,1.0,0.0,8.0,17.0,1000.0,5
00f1575c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10000.0,0.0,0.0,10000.0,1.0,0.0,0.0,1.0,5.0,1000.0,1
00f369ef,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1
00f4620f,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,4.0,0.0,8.0,0.0,0.0,1.0,4.0,8.0,1000.0,2
00f5c8be,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,10000.0,3.0,1.0,10000.0,0.0,1.0,0.0,1.0,18.0,30.0,3
00fd99c6,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10000.0,0.0,1.0,5.0,0.0,1.0,0.0,6.0,4.0,1000.0,3
00ff2c51,108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,10000.0,4.0,1.0,3.0,1.0,0.0,0.0,8.0,3.0,62.0,8
010200b5,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1000.0,1
01022bf3,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,10000.0,6.0,1.0,4.0,0.0,1.0,0.0,6.0,1.0,1000.0,3
01039bf1,56,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,2.0,4.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,7
010750dc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,10000.0,1.0,0.0,10000.0,0.0,1.0,0.0,1.0,19.0,1000.0,0
01094049,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1000.0,3
010b0b0b,476,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.2,5.0,42.0,42.0,8.0,1.0,6.0,1.0,1.0,0.0,10.0,13.0,5.0,17
010f9396,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,10000.0,1.0,1.0,16.0,0.0,1.0,0.0,4.0,16.0,16.0,2
01102549,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,11.0,1000.0,1
01126aa4,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,11.0,1000.0,1
01127f1d,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1
01183209,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,2.0,0.0,11.0,1.0,0.0,0.0,2.0,11.0,1000.0,1
0121c41e,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,7
0126d440,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,10.0,1000.0,1
0129072b,12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,10000.0,1.0,1.0,10.0,1.0,0.0,0.0,2.0,4.0,1000.0,2
012af91b,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,5.0,0.0,11.0,0.0,1.0,0.0,3.0,11.0,1000.0,2
012b81de,91,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10000.0,3.0,1.0,7.0,1.0,0.0,0.0,3.0,7.0,7.0,20
012cd55c,10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1000.0,1000.0,2
012d8fd8,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,10000.0,0.0,1.0,10000.0,0.0,1.0,0.0,21.0,1.0,1000.0,6
0137a57b,151,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,12.0,69.0,16.0,4.0,1.0,16.0,0.0,1.0,0.0,3.0,16.0,1000.0,6
013a0e3a,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,84.0,10000.0,7.0,1.0,10000.0,0.0,1.0,0.0,8.0,28.0,78.0,5
013dc935,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,1000.0,1000.0,1
013e1cd0,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,10000.0,7.0,1.0,5.0,0.0,1.0,0.0,7.0,2.0,1000.0,4
013ef20d,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,1.0,0.0,11.0,1.0,0.0,0.0,3.0,11.0,1000.0,1
013fce70,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10000.0,1.0,1.0,13.0,0.0,1.0,0.0,2.0,13.0,13.0,2
0144bd58,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,73.0,10000.0,7.0,1.0,10000.0,0.0,1.0,0.0,7.0,64.0,71.0,2
0146ecbc,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10000.0,2.0,0.0,12.0,0.0,1.0,0.0,2.0,12.0,12.0,5
014853d4,71,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,10000.0,3.0,1.0,1.0,1.0,0.0,0.0,22.0,1.0,1.0,7
015fb139,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1000.0,3
01638753,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.0,10000.0,5.0,1.0,10000.0,0.0,1.0,0.0,5.0,4.0,4.0,4
0163bf88,35,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,12.0,15.0,13.0,3.0,1.0,13.0,0.0,0.0,1.0,9.0,12.0,1000.0,2
016419e1,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,10000.0,5.0,1.0,16.0,0.0,1.0,0.0,5.0,9.0,16.0,4
01696aab,69,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,129.0,10000.0,4.0,1.0,71.0,0.0,1.0,0.0,3.0,87.0,8.0,6
016b86b9,820,5.0,1.0,2.0,1.0,2.0,1.0,7.0,0.0,2.0,1.0,0.0,1.0,2.0,149.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,74.0,3.0,32.0,10
016d0c8f,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,3.0,7.0,1000.0,1
016f3833,60,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,3.0,19.0,17.0,8.0,1.0,17.0,1.0,1.0,0.0,4.0,19.0,1000.0,4
01716e05,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,142.0,10000.0,1.0,1.0,14.0,1.0,0.0,0.0,9.0,14.0,1000.0,5
01798556,124,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,10000.0,3.0,1.0,12.0,1.0,0.0,0.0,12.0,12.0,1000.0,4
017a84d1,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10000.0,2.0,1.0,5.0,1.0,0.0,0.0,6.0,2.0,1000.0,1
017d35dc,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1000.0,1
017fd805,54,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,3.0,3.0,8.0,1.0,3.0,0.0,1.0,0.0,6.0,3.0,1000.0,8
018598e8,43,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,8.0,25.0,14.0,4.0,1.0,14.0,1.0,0.0,0.0,8.0,8.0,11.0,3
018adf26,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,2.0,1.0,1000.0,3
018c1154,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,1.0,1000.0,5
0190f87d,139,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,10000.0,0.0,1.0,7.0,1.0,0.0,0.0,7.0,7.0,9.0,14
019425a8,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,44.0,10000.0,5.0,1.0,10000.0,1.0,0.0,0.0,6.0,43.0,1000.0,8
0196054a,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,126.0,10000.0,2.0,1.0,26.0,0.0,1.0,0.0,0.0,1000.0,126.0,3
01984bc3,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,10000.0,4.0,1.0,12.0,0.0,1.0,0.0,5.0,11.0,12.0,5
019ac712,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,1000.0,1
