person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos,CantidadDiasDiferentesDeVisita,CantidadDeModelosVistos,EsDeBrazil,apple,asus,blackberry,lenovo,lg,motorola,quantum,samsung,sony,bcm,vam,vao,coam,coao,cam,cao,lam,lao,DeSaoPaulo
00202cdb,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,10000.0,0.0,1.0,17.0,0.0,1.0,0.0,10.0,17.0,1000.0,4,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0022965d,189,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,10000.0,43.0,1.0,8.0,1.0,0.0,0.0,48.0,1.0,1000.0,4,17,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0027574e,156,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,10000.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,1000.0,15.0,14,5,25,1.0,0,1,0,0,0,0,0,0,0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00295d74,18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,1000.0,4,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
002aea56,283,4.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.8,16.0,127.0,121.0,2.0,1.0,16.0,1.0,0.0,0.0,14.0,29.0,127.0,13,20,21,1.0,1,0,0,0,0,0,0,0,0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
002ed810,57,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.4,3.0,42.0,3.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,1000.0,7.0,5,4,6,1.0,2,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,False
002fb981,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,10000.0,7.0,1.0,9.0,0.0,1.0,0.0,6.0,3.0,33.0,4,6,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00344873,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10000.0,1.0,0.0,16.0,1.0,0.0,0.0,1.0,16.0,1000.0,5,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0038a117,280,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.2,2.0,136.0,132.0,9.0,1.0,132.0,1.0,0.0,0.0,9.0,10.0,10.0,13,21,27,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
003a05bf,87,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,32.0,10000.0,3.0,1.0,14.0,0.0,1.0,0.0,0.0,1000.0,1000.0,4,7,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
003d07ef,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,10000.0,1.0,0.0,10000.0,0.0,1.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
003e7507,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,17.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00408349,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10000.0,2.0,1.0,16.0,0.0,1.0,0.0,6.0,2.0,1000.0,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0041fec6,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,10000.0,1.0,1.0,11.0,1.0,0.0,0.0,1.0,11.0,10.0,5,4,6,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0043a48e,34,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.6,14.0,17.0,16.0,0.0,1.0,16.0,0.0,1.0,0.0,3.0,15.0,14.0,2,4,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00546f4c,480,4.0,1.0,1.0,0.0,2.0,0.0,13.0,0.0,1.0,1.0,1.0,0.8,1.0,149.0,12.0,11.0,1.0,12.0,1.0,1.0,0.0,24.0,38.0,12.0,12,41,34,1.0,5,0,0,0,0,2,0,17,0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00556ee5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,104.0,10000.0,1.0,1.0,17.0,0.0,1.0,0.0,6.0,17.0,17.0,3,4,4,1.0,1,0,0,0,0,0,0,0,0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,False
0059a996,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,1.0,6.0,1000.0,5,2,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
005af223,79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,90.0,10000.0,14.0,1.0,21.0,0.0,1.0,0.0,18.0,18.0,50.0,5,12,4,1.0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
005e06ef,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,10000.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,3,3,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0061cbe8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,1.0,4.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
006549da,85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,10000.0,3.0,1.0,13.0,1.0,0.0,0.0,3.0,13.0,13.0,11,4,16,1.0,2,0,0,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
006bb312,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1000.0,8.0,1,1,1,1.0,1,0,0,0,0,0,0,0,0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
006cabc5,108,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,146.0,10000.0,1.0,1.0,52.0,1.0,0.0,0.0,1.0,146.0,1000.0,12,2,14,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
006e1534,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,4.0,6.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
006fc943,268,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,44.0,10000.0,10.0,1.0,41.0,0.0,1.0,0.0,49.0,11.0,11.0,6,13,8,1.0,0,0,0,0,0,0,0,26,0,26.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True
00750af8,92,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,7.0,71.0,8.0,8.0,1.0,8.0,0.0,1.0,0.0,5.0,8.0,8.0,7,7,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00754f5e,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,1.0,1.0,17.0,1.0,0.0,0.0,4.0,17.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0076b7dc,85,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,5.0,64.0,12.0,9.0,1.0,12.0,0.0,1.0,0.0,10.0,11.0,12.0,4,7,5,1.0,21,0,0,0,0,0,0,0,0,21.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,False
007743ca,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,1.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
007a0564,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,6.0,6.0,2,2,2,1.0,5,0,0,0,0,0,0,0,0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
0081cd73,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,17.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0081f590,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,15.0,15.0,2,1,2,1.0,0,0,0,0,0,2,0,0,0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
008287e4,89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,125.0,10000.0,3.0,1.0,14.0,1.0,0.0,0.0,4.0,14.0,13.0,11,3,19,1.0,0,0,0,0,0,4,0,0,0,4.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,False
0083c22c,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,3.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
0087d959,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,3.0,4.0,1000.0,9,3,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0089421c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,10000.0,3.0,0.0,10000.0,0.0,1.0,0.0,3.0,48.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
008a6d00,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10000.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,9.0,1000.0,5,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
008b4a48,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1000.0,10.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
008f480f,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,25.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
008f739f,101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,88.0,10000.0,4.0,1.0,15.0,1.0,0.0,0.0,12.0,9.0,14.0,6,9,8,1.0,0,0,0,0,0,0,0,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
009648f0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,49.0,1000.0,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00970caa,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
009944e1,157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,144.0,17.0,5.0,1.0,17.0,1.0,0.0,0.0,11.0,94.0,1000.0,14,12,20,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
009f8292,29,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4,10.0,70.0,10.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1000.0,1000.0,2,3,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00a2efc2,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10000.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,1000.0,2,2,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
00af50bb,77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,10000.0,1.0,1.0,16.0,0.0,1.0,0.0,7.0,53.0,114.0,8,13,14,1.0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00b0fe02,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,2.0,0.0,14.0,0.0,0.0,1.0,2.0,14.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00b1b9d0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,10000.0,6.0,1.0,10000.0,0.0,1.0,0.0,16.0,1.0,1000.0,11,18,26,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
00b5303d,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
00b6642b,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1000.0,1000.0,3,1,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00b8bba9,80,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,10000.0,3.0,1.0,9.0,0.0,1.0,0.0,3.0,11.0,11.0,5,2,4,1.0,5,0,0,0,0,0,0,0,0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
00caa482,300,4.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.8,2.0,99.0,15.0,7.0,1.0,15.0,1.0,0.0,0.0,44.0,2.0,9.0,11,21,22,1.0,4,0,0,0,0,0,0,2,0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00cd1373,132,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4,2.0,13.0,4.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,4.0,8,7,9,1.0,38,0,0,0,0,0,0,0,0,38.0,29.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,False
00cde0db,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10000.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
00d618ba,316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,10000.0,18.0,1.0,7.0,1.0,0.0,0.0,10.0,3.0,11.0,21,7,40,1.0,0,0,0,0,0,3,0,0,0,3.0,11.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00d8d869,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,4,1,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00dcc618,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00e0e219,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,10000.0,0.0,1.0,17.0,1.0,0.0,0.0,3.0,17.0,1000.0,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00e2e06b,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,44.0,10000.0,6.0,1.0,17.0,0.0,1.0,0.0,8.0,17.0,1000.0,5,3,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00f1575c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10000.0,0.0,0.0,10000.0,1.0,0.0,0.0,1.0,5.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
00f369ef,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1,3,1,1.0,3,0,0,0,0,0,0,0,0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,False
00f4620f,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,4.0,0.0,8.0,0.0,0.0,1.0,4.0,8.0,1000.0,2,1,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00f5c8be,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,10000.0,3.0,1.0,10000.0,0.0,1.0,0.0,1.0,18.0,30.0,3,3,2,1.0,0,0,0,0,0,0,0,3,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00fd99c6,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10000.0,0.0,1.0,5.0,0.0,1.0,0.0,6.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
00ff2c51,108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,10000.0,4.0,1.0,3.0,1.0,0.0,0.0,8.0,3.0,62.0,8,6,19,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
