person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos,CantidadDiasDiferentesDeVisita,CantidadDeModelosVistos,EsDeBrazil,apple,asus,blackberry,lenovo,lg,motorola,quantum,samsung,sony,bcm,vam,vao,coam,coao,cam,cao,lam,lao
007a0564,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,10000.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,6.0,6.0,2,2,2,1.0,5,0,0,0,0,0,0,0,0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0081cd73,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,17.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0081f590,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,15.0,15.0,2,1,2,1.0,0,0,0,0,0,2,0,0,0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
008287e4,89,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,125.0,10000.0,3.0,1.0,14.0,1.0,0.0,0.0,4.0,14.0,13.0,11,3,19,1.0,0,0,0,0,0,4,0,0,0,4.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
0083c22c,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,3.0,0.0,9.0,0.0,1.0,0.0,3.0,9.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0087d959,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,3.0,4.0,1000.0,9,3,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0089421c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,10000.0,3.0,0.0,10000.0,0.0,1.0,0.0,3.0,48.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008a6d00,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,10000.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,9.0,1000.0,5,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008b4a48,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,1000.0,10.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008f480f,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,25.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
008f739f,101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,88.0,10000.0,4.0,1.0,15.0,1.0,0.0,0.0,12.0,9.0,14.0,6,9,8,1.0,0,0,0,0,0,0,0,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009648f0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,1.0,49.0,1000.0,4,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00970caa,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009944e1,157,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,144.0,17.0,5.0,1.0,17.0,1.0,0.0,0.0,11.0,94.0,1000.0,14,12,20,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009f8292,29,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.4,10.0,70.0,10.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1000.0,1000.0,2,3,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00a2efc2,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10000.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,2.0,1000.0,2,2,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00af50bb,77,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,10000.0,1.0,1.0,16.0,0.0,1.0,0.0,7.0,53.0,114.0,8,13,14,1.0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b0fe02,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,2.0,0.0,14.0,0.0,0.0,1.0,2.0,14.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b1b9d0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,10000.0,6.0,1.0,10000.0,0.0,1.0,0.0,16.0,1.0,1000.0,11,18,26,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b5303d,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b6642b,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1000.0,1000.0,3,1,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00b8bba9,80,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,10000.0,3.0,1.0,9.0,0.0,1.0,0.0,3.0,11.0,11.0,5,2,4,1.0,5,0,0,0,0,0,0,0,0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00caa482,300,4.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.8,2.0,99.0,15.0,7.0,1.0,15.0,1.0,0.0,0.0,44.0,2.0,9.0,11,21,22,1.0,4,0,0,0,0,0,0,2,0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00cd1373,132,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4,2.0,13.0,4.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,4.0,8,7,9,1.0,38,0,0,0,0,0,0,0,0,38.0,29.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
00cde0db,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10000.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00d618ba,316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,10000.0,18.0,1.0,7.0,1.0,0.0,0.0,10.0,3.0,11.0,21,7,40,1.0,0,0,0,0,0,3,0,0,0,3.0,11.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
00d8d869,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1000.0,1000.0,4,1,5,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00dcc618,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1000.0,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e0e219,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,10000.0,0.0,1.0,17.0,1.0,0.0,0.0,3.0,17.0,1000.0,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e2e06b,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,44.0,10000.0,6.0,1.0,17.0,0.0,1.0,0.0,8.0,17.0,1000.0,5,3,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00f1575c,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10000.0,0.0,0.0,10000.0,1.0,0.0,0.0,1.0,5.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00f369ef,21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,10000.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1,3,1,1.0,3,0,0,0,0,0,0,0,0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
00f4620f,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,10000.0,4.0,0.0,8.0,0.0,0.0,1.0,4.0,8.0,1000.0,2,1,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00f5c8be,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30.0,10000.0,3.0,1.0,10000.0,0.0,1.0,0.0,1.0,18.0,30.0,3,3,2,1.0,0,0,0,0,0,0,0,3,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00fd99c6,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10000.0,0.0,1.0,5.0,0.0,1.0,0.0,6.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00ff2c51,108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,10000.0,4.0,1.0,3.0,1.0,0.0,0.0,8.0,3.0,62.0,8,6,19,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010200b5,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
