person,CantidadEventos
034fbc8a,5
03533e4f,47
035626f1,19
035be698,53
035c9c3c,62
03665977,16
03739332,5
037a2f9e,46
037f094d,106
037f3cec,22
0382adc4,147
0384b2bd,4
0384dbbf,4
038e3cd5,4
039a1fa7,535
039c02c5,20
039ccd71,35
039d87dc,74
039fe371,25
03a0d815,27
03a1b4d1,24
03aa060a,15
03aa82cb,9
03ab59d3,46
03ae1796,79
03b6cecb,6
03b999c7,426
03bb6dc9,16
03c6dbf0,40
03c72157,98
03d242c6,88
03d269f6,120
03d5db8f,7
03da16b8,11
03db8124,273
03e50576,50
03eb4dd6,18
03f1562e,54
03fb9fde,9
0401277e,2
04014a58,6
04068dcd,6
0408f3f4,14
040ad2f1,3
040f38ba,138
0411efc6,82
0413b563,4
04145809,78
0415c30d,135
041b49c5,7
041d7e7c,7
041dc1c0,109
041e67c8,139
04218827,5
042467f9,24
04247184,27
042481ae,30
04287e35,370
042b0008,35
042b1af5,12
042ceff2,7
042daf42,182
04339a2a,18
04339d40,162
043498e0,119
04372918,45
04386a90,2
04452b51,51
04463f03,10
04479796,40
044798c5,29
044cd20c,4
044df6bc,55
0450c157,34
0454bd8b,7
0454d395,22
045a01b7,60
045ccfc6,41
045ed46b,18
046261a1,37
046f4eee,43
0471cda1,6
0473d45c,66
0473d703,65
047425e8,69
047525d7,18
047bf097,20
047eaf93,57
047fecb5,93
0482fc3a,23
04858d07,7
048623e1,4
0487acc0,52
048a0e28,53
048b7adb,74
048e6ef0,51
048e8a05,15
048f0b15,21
048fe060,44
0490bc0a,27
049c35a9,278
04a1be72,79
04a2caa8,5
04a31cb9,22
04a5bf7c,3
04ac1d2b,8
04b0de51,131
04b134be,13
04b13fd2,10
04b3cf8f,22
04bfc38e,9
04c13da6,252
04c79bf6,3
04c7ed44,45
04c8323e,12
04d2ee78,15
04d814ae,26
04d9cb0e,13
04dba417,113
04dc5661,99
04de8d3e,8
04ded3e6,75
04e15d15,79
04e5a487,15
04e667e4,52
04e6d352,30
04edbc20,52
04f2e560,96
04f4febe,9
05076463,14
0507e8f2,12
050956cd,27
051b11a7,48
05204945,28
0522a4fa,35
05237699,22
05241c33,14
0527b5ae,30
052a0610,96
052a2d62,4
052adc12,48
052d6778,46
05369f37,10
053a1fb6,14
053b53ed,83
053c8c48,306
053db417,240
053e23ce,23
053f578d,1
054013e8,18
05415a64,17
05434466,350
05445b67,7
054a0951,12
054c06b7,80
0552ee2b,6
05567c7b,151
0556c3b8,46
055ce8c8,50
0564216a,9
05673798,93
0567a51f,23
056f89d4,16
057a8bc2,19
057aa717,109
05832043,16
05842367,22
05845094,36
0589bc9f,42
058d33f5,11
058f8a59,29
0592919f,95
0595673e,281
059bcf05,53
059cb926,3
059d594b,13
05a0feb5,237
05a3f374,17
05a565eb,22
05a99822,4
05a9aa0a,2
05ab0341,13
05aba175,8
05b53558,3
05b98856,3
05ba5474,15
05bbd123,4
05ce4c68,91
05d47572,4
05df8dea,135
05e816e1,58
05e9dc15,10
05ec0416,15
05f9aabd,161
05fab3e2,22
05fdf4d4,42
0603dfa7,6
06054a70,105
060788cf,14
0615817a,23
061c36f3,20
06230959,22
0623d3b0,354
06271090,56
062d7384,171
062dd1cb,54
0630c31f,12
06340412,71
06377ced,31
0645477e,4
064b8baf,112
064ec6ea,101
06568d8d,4
0656c4ea,8
065b0804,18
065b4fea,45
065ead15,9
06698b9a,18
066a20aa,113
066d8e1d,18
06786046,32
06790571,21
06793b28,12
067f8d78,5
0680b00d,593
06818d49,104
06824520,10
06872f0b,14
068af20b,18
068b6fbb,4
068b86b4,12
068b993a,5
0697a4c2,11
069a72e5,9
069b6014,4
06a4dc8f,85
06a762a5,29
06ad410f,74
06b1c34c,12
06b26eb2,13
06b27801,9
06b3441e,9
06b6e768,10
06b9946b,17
06c033ec,371
06c0a0d5,14
06c0db23,44
06c1fbb3,95
06c6384c,4
06caa05f,4
06cdc70f,97
06cea6ea,10
06d322d3,50
06d450a7,9
06d72f24,11
06d8c28c,7
06df5403,167
06e4b8c8,9
06e55267,33
06e6349b,14
06ea2c68,10
06ed04d6,2400
06f206fe,8
06f41e53,18
06f6975e,3
06f953fe,5
06fcbc94,21
070b29c0,5
070f9a0b,66
07110547,35
0717754f,9
0718385a,70
071abc4f,246
071e2196,95
0720b80e,66
0720d357,14
072a96a1,120
07314959,4
0732ac8c,107
073cdd36,71
073fd043,22
07420dec,144
0744ba92,98
0755e63e,32
0756e3ad,40
0758bd0b,211
075c5198,24
075e85f8,57
076cf4cd,273
0773ee15,84
0774872c,85
0776c1f0,4
077d3da7,8
077d4d9f,333
077e8564,4
07876886,29
07891a0d,48
078baec6,77
078bfbd3,1
079532d3,53
079bdbe4,23
07a39f46,41
07a60895,14
07a7e6be,54
07a887ed,12
07ad7c88,54
07aff1c4,11
07b01d56,28
07b0a7a8,4
07b22fcb,4
07b2319f,15
07b96270,38
07b99a01,112
07b9f8ae,12
07ba73bf,68
07c3a2da,10
07c8ebeb,38
07c9beeb,69
07ccd549,77
07cde923,609
07d02c79,80
07d8c1ac,98
07db4e73,16
07dc9451,18
07e631f2,39
07e662e9,3
07e69681,19
07e6e71f,56
07e6f8c2,28
07f124fe,50
07f26ce1,4
07f2d434,88
07f42646,431
07f42a13,4
07f4fec1,5
0800358e,54
0800bcfb,36
0800f720,81
0804633b,68
080bd4ac,640
080e8db0,40
080fcf1a,147
0810558b,20
081713cb,17
081911b4,91
08198e83,18
08208a49,11
08245544,3
0824c55d,6
082bd9bd,62
082c80d5,3
0833a0a9,4
083b3442,3
083d5b9a,19
08462640,5
08463d5b,45
08466048,32
084925d5,7
084f9401,31
08500aef,14
0858c7dd,12
085ef200,15
08639c4f,5
08683645,6
086b64ea,28
08740886,40
087a68e3,9
087de56d,35
08801bfc,95
0880b8e1,20
08837bda,15
0883e978,6
088477ee,141
088bf9fe,80
088ccfd7,148
088d0558,14
088f10a3,400
0892abe8,62
089563a3,4
08991bf9,401
089aeed8,222
089cda86,217
089e36af,4
089eb49b,8
08a60c7c,58
08a6d92f,28
08a82be5,72
08ae99c4,50
08b1d536,25
08babe3f,36
08bbf145,2
08c15659,3
08c9da9e,21
08caae70,38
08cb481e,11
08cba418,39
08d02ef7,109
08d0674b,9
08d18c71,63
08d2d2ee,34
08d35e05,18
08d3db92,58
08e040a4,5
08e0974b,19
08e616b7,87
08e643c3,33
08ea4ea5,34
08f06435,53
08f36f9d,4
08f737af,119
0900779d,11
09030d39,46
0903f3f8,49
0908f99e,81
090a998c,6
090e29b6,37
090ef175,206
0914bd03,17
09191ecf,43
091987f9,23
091a89ac,115
091d4e3a,112
091f6ce7,64
0924371d,56
0926f776,25
092db484,4
09352d1f,22
09372e45,12
093ba2ef,14
093c3834,15
093eeb7a,4
09411787,4
0949b6a4,75
094c8fdb,9
094fcf0d,10
09557165,31
095a98b0,133
095c5f96,327
095d6adb,527
0966f2a3,61
0967f3a4,25
096bf242,212
096ebe93,46
0974287a,4
0974c232,101
0978b0d9,103
0978b7b7,21
09793121,12
097a0d5b,14
097cbc1e,33
09833fa3,33
09837117,2
0983c897,62
09848f4e,10
098b319c,6
098bea44,130
0996b69a,83
09a6536f,15
09ac3798,29
09b0e60b,17
09b43644,98
09ba24eb,12
09be0231,73
09c2d603,62
09c5914d,97
09c86611,26
09cce7ea,7
09d0b3d9,4
09d718cc,393
09db6995,12
09dc59af,78
09e0db6a,254
09e2bd1a,28
09e4e04b,67
09e532d7,40
09e890f1,15
09ea35c3,484
09ee02c4,50
09f26d53,7
09f578ac,18
09fa700c,13
09fc8084,65
09fdf852,7
09fe5eac,31
0a036ba6,14
0a0441ff,64
0a05b988,50
0a09033d,24
0a09ed37,9
0a0a8e92,34
0a13de3a,23
0a263927,4
0a287714,4
0a2a7401,310
0a2b15f1,10
0a2bdc5e,418
0a2c03b3,4
0a2cfbe5,98
0a2f9872,12
0a302d69,25
0a3152cf,9
0a325e86,72
0a32ef30,32
0a334bfb,6
0a38ba8c,24
0a390749,17
0a392a70,48
0a3a754c,34
0a3c96b6,21
0a3eacbb,9
0a4359fd,177
0a446067,42
0a48c7dd,3
0a52beaa,18
0a5500f7,36
0a56042e,58
0a5674e3,43
0a59b83f,115
0a5a08de,4
0a5c3448,5
0a726998,4
0a7278b6,99
0a742f6b,10
0a7b34e8,11
0a7d73ef,24
0a7fc5d5,8
0a7ffd3b,74
0a8396b5,36
0a8cf902,9
0a938014,12
0a96681a,45
0a991ffb,19
0aa2b925,99
0aa3be5b,16
0aa42a59,163
0aa51910,6
0aa540b1,16
0aa7a825,138
0aac3579,24
0ab19ebb,93
0ab53692,21
0ab5b77a,27
0ab7ba4c,6
0ab8071c,8
0abaabba,26
0abaed3a,74
0abeae7a,9
0ac6f80c,88
0acb0dd8,40
0acd4c31,6
0acd4cfa,8
0acf6085,69
0ad72deb,47
0ae6e81d,45
0ae7030e,4
0ae86202,3
0ae8e76b,74
0aeb596a,28
0aec3c89,9
0aed974d,18
0aeea846,11
0af117af,7
0af3f1f1,51
0afaf28d,51
0aff575b,20
0b02b868,10
0b0c8c25,13
0b138c53,40
0b13e026,35
0b1429da,14
0b14fed7,18
0b187bda,93
0b273f4a,27
0b28e1e6,121
0b2998c7,25
0b2e2100,113
0b305d74,90
0b3109a8,18
0b3519eb,43
0b393f2d,13
0b3e6f67,3
0b40a4ca,6
0b4341bb,10
0b513259,130
0b52e6c8,29
0b544b65,11
0b5d9257,49
0b5f90b2,13
0b63edae,72
0b67541e,19
0b6774d3,197
0b68d8fe,7
0b6ef3d1,16
0b859654,13
0b906cf5,13
0b91b6d6,15
0b928b3d,2
0b92f190,110
0b947f5b,37
0b9927b4,33
0b9a69f1,21
0b9c388f,112
0b9d0598,55
0b9e0132,233
0ba2ac97,57
0ba4dc08,30
0ba4e604,324
0ba4ea48,520
0baa7b0c,65
0bb32a91,12
0bb37f6a,32
0bb45ffd,603
0bb60ae3,12
0bba4c68,9
0bcc3c80,4
0bccc9fa,25
0bcf03c1,48
0bd076f9,38
0bd08e68,38
0bd2f756,35
0bd44989,2
0bd61a21,60
0bdabe42,15
0be7712b,3
0bf0c226,50
0bf0f4b8,43
0bf201ce,8
0bf4c2c5,335
0c00b65b,10
0c017f77,26
0c0580c3,242
0c0641b3,15
0c0c0d53,25
0c0cd9db,4
0c0ef200,95
0c1105ed,73
0c118b5a,31
0c13d6b0,4
0c1c6a9d,118
0c26d732,91
0c304998,19
0c31095e,2
0c33283e,5
0c3a520b,6
0c3d70ee,6
0c4aa321,4
0c4c7a5b,82
0c4f0376,4
0c55d921,28
0c588686,482
0c5e4707,31
0c63334c,15
0c64525d,33
0c6b7fd4,50
0c6ee9e5,3
0c734fb1,24
0c761987,18
0c798137,17
0c7d0d74,65
0c839c59,11
0c8db2e0,72
0c940daa,8
0c94bcb9,14
0c96825c,19
0c9d90d6,14
0c9fc253,536
0ca07f08,99
0ca744be,103
0cac940b,73
0cb03b51,11
0cb6ede0,21
0cb7279c,243
0cba4d1f,104
0cbacdc1,6
0cbfded8,28
0cc86d33,16
0cd518e1,43
0cd5f510,8
0ce04737,206
0ce26294,167
0ce50d9c,56
0cea3b63,26
0cef22a6,4
0cf0b96a,21
0cfb7ff7,6
0cffd1be,278
0d079711,38
0d0c4ff0,6
0d0ef8b6,24
0d108f2b,18
0d17c853,77
0d17cea3,155
0d19f990,36
0d204f2b,54
0d247226,19
0d260083,9
0d280eb7,4
0d329833,27
0d34af6e,150
0d35538d,6
0d3607ab,3
0d3ed0d0,5
0d472a66,60
0d48d41e,593
0d491a97,13
0d49a9ed,90
0d4aba2d,34
0d4d6f74,4
0d4f05d7,12
0d4ff378,9
0d5159e4,34
0d540e26,90
0d57e70a,202
0d5948e9,39
0d677e8a,19
0d778481,212
0d79ee6d,88
0d800ae7,18
0d807f42,122
0d80991e,20
0d859602,55
0d87b223,10
0d8dea9c,8
0d972598,4
0d9ba914,4
0da1a9e1,10
0dad8359,35
0dad8ce0,24
0daebdcc,37
0db1471f,4
0db88c11,5
0db9efca,31
0dbcf50c,957
0dbed274,68
0dc38893,11
0dd9caa8,21
0de03179,18
0de2ef8e,121
0de4d77f,78
0de7b2e9,74
0de7e638,9
0de84249,121
0dfb37d0,8
0dfd8e90,17
0dff1cec,4
0e00f12f,160
0e01b083,5
0e0679ba,21
0e080005,21
0e085e1a,13
0e08e1d1,6
0e14eefa,138
0e16d741,28
0e170b17,29
0e1986ba,14
0e1d7ee4,26
0e1f3b59,63
0e1ff7c6,26
0e23837e,19
0e258167,24
0e2bb2be,60
0e2dfb1d,117
0e2ff3b2,7
0e33dc2a,24
0e383277,67
0e3c91a6,55
0e4227a0,4
0e4687b8,4
0e4b3cc7,58
0e519460,137
0e532395,242
0e5571fe,73
0e570259,30
0e5b6c3c,68
0e5c5ee8,23
0e5d2067,12
0e5df472,91
0e6294a6,7
0e65ac2f,62
0e6852fb,4
0e6f79e1,27
0e738801,15
0e77a3a8,22
0e7951ea,96
0e805418,54
0e8244bd,4
0e86c215,21
0e9132a2,79
0e937d36,32
0e9bd02e,6
0e9d0ae2,28
0ea34765,108
0ea39588,27
0ea83176,8
0eaebe2c,4
0eb95ecf,28
0ebb735b,29
0ebbb5e9,3
0ebd6b81,627
0ebd6eb8,83
0ebef275,7
0ec008ff,136
0ec10b2a,9
0ec167b9,7
0ec2cefe,4
0ec3748a,98
0ec7d7ab,1
0ec82c43,201
0ec9a7a3,19
0eca7ed3,350
0ecdc239,9
0ece1108,5
0ecfca50,421
0ed38361,60
0edd368a,15
0edf4cc5,4
0ee2cb99,708
0ee30f8a,102
0ee4ad13,7
0ee4c3de,74
0ee8ea57,75
0ef0abaf,71
0ef0b96b,86
0ef4118a,10
0ef4168f,596
0ef60aef,60
0ef8e2a8,11
0efa4369,8
0efa95ca,8
0efa99c1,104
0efca388,7
0f013dcd,99
0f067145,4
0f0e95a2,52
0f148a1d,140
0f168a63,3
0f18f196,113
0f1f23a4,16
0f1f714b,23
0f21ffa2,13
0f23b0c7,67
0f252d11,6
0f308ca7,8
0f312684,20
0f3734c6,16
0f3aa415,15
0f3c3c47,4
0f3e24e6,83
0f42e113,17
0f4c1d4c,47
0f4e2a4b,20
0f4eb377,327
0f4fd0ba,4
0f5076d0,179
0f5263ba,2
0f5394a4,38
0f596c4c,19
0f59b919,16
0f5c4ffd,48
0f5f3531,3
0f633db3,56
0f63a1ce,14
0f66bb8d,72
0f67b2ee,22
0f6b58f3,16
0f6c8a17,283
0f70f631,33
0f728ecb,138
0f73cf75,4
0f788a63,53
0f7a6eb9,146
0f7c77cc,25
0f7e677e,32
0f848d6a,13
0f8adc16,11
0f902c1c,66
0f92ecc7,49
0f943574,4
0f9ced73,70
0f9d51be,30
0f9fc484,23
0fa53195,594
0fab326a,4
0fae7d68,8
0fb0e13c,179
0fb43918,55
0fb55939,9
0fb906c2,27
0fbcb259,378
0fc1c796,20
0fc30759,131
0fc5f233,36
0fc848cd,12
0fd5180c,34
0fd5f454,23
0fe15f2b,18
0fed7326,14
0fee480f,85
0ff0174a,243
0ff0c103,118
0ff75b46,36
100171ff,6
1001ca01,7
1001fb81,181
1003b1b3,47
1005c4e6,170
100f5722,3
100ff712,126
1012c423,41
1016c834,4
1018e030,21
101a9000,65
101bddda,16
102123b4,33
1026ef88,13
10275431,15
102a4edf,29
102b0d72,64
102c5ed5,102
102e4526,22
102ebc85,136
102f402d,25
1033c7f1,8
10343e96,327
103e0f7d,315
103fe4b6,10
104090c6,31
104502b3,300
1045e19c,3
1049c17f,17
1050ddd0,26
1052d5d5,30
105b9493,198
105d57b2,2
1060e3a4,34
10649bed,14
1067e372,22
1069a550,101
106eb958,22
1070bca3,61
1078f63c,41
107a4f68,22
1084b2e9,150
1086d8f1,27
1087604c,26
10895fab,101
108a4ffa,74
108baad9,18
108c813b,12
108caf2c,122
108fc620,8
1090c825,15
10924060,232
10986c83,127
10a1ebe1,21
10a3e0a0,124
10a52448,34
10a596e5,5
10a6856d,26
10a6d24a,28
10a7f5e5,46
10a8a597,5
10ab514a,6
10afcd22,4
10b0ae4e,55
10b78449,59
10bde223,41
10bf3d38,51
10c1d394,27
10c4a037,98
10c4e713,74
10c578c3,37
10c64654,17
10c80d84,98
10cafd5d,3
10ccf1af,37
10d25ff5,4
10d5f40f,41
10d63e25,92
10d79571,259
10d8c304,6
10dc5a57,8
10df5654,21
10e20515,134
10e34c40,44
10e4cbea,23
10e9600d,10
10eb73e8,14
10f33b25,23
10f4fbd6,32
10f73ec5,32
10fd5f90,32
10fff09e,193
1106a492,6
110a376c,1
110ead63,46
111379b0,62
111792ad,13
111ec529,1
111fa39a,208
11210689,11
1125429b,12
112846e0,147
112a5fef,39
11310cbb,17
1131cfaa,45
1136bc2c,8
11387a2a,10
1141014e,8
11490c75,12
114c81fb,5
11545942,4
1154afaf,8
1155b90e,179
115fba99,39
1160e288,8
11767781,1130
1179b63f,12
117b1918,2
117d4f0c,17
1183ca45,4
11847ae5,85
118483a4,14
1186fa7c,37
1187cd51,51
11898a80,660
118dec59,7
11950603,4
11975640,6
119ad4aa,326
119b44b0,15
119b58c1,8
119f118c,4
11a0d5b2,11
11a1a467,8
11a46fab,4
11aaf137,9
11b1b119,255
11b332e1,29
11b7024e,51
11b7c8b9,28
11bd9930,84
11bfb1ea,102
11cc6583,4
11cd0466,62
11cec667,56
11d2a554,11
11d3b473,85
11d464f0,53
11db9e17,41
11df841d,4
11dfd869,102
11e0e766,62
11e1bf8b,126
11e3fcc3,279
11e444ae,6
11e7fbb4,14
11e96050,26
11ee8659,11
11f374e4,6
11f964d2,40
1201609e,26
1208ed79,119
1209ce09,28
120d18a9,414
120d2e80,4
1210da5d,32
121478bc,10
121bdce1,177
121e1247,18
12226507,150
1223e7d3,22
122fca8b,13
1230801a,287
123a3531,32
12427ab2,4
124388b6,38
12450001,5
124538c0,4
124f95e9,56
12511bec,70
12517ea7,23
1253f42a,20
1257e31a,86
125b90e2,46
125d4a36,265
125e70a4,1
125eecae,89
1260ff19,4
1267a6b0,39
12747dae,25
1277e67d,146
1278cdde,6
127943ec,8
127aee77,25
127bdef1,35
12810aa8,35
12811a3c,15
12847fd5,3
1285927f,17
12885efc,175
12974010,100
1297c787,82
129e502f,58
12a1f776,41
12a31ede,130
12a3650f,27
12a6a4cd,4
12a9715d,32
12adba6f,39
12b41453,18
12bbd142,5
12bfaa56,8
12cb57e5,107
12cd0883,3
12ce4507,116
12cfdb4c,239
12d435c3,17
12d5f669,176
12de4d23,8
12dfed2b,19
12e2b528,2
12ec13f2,14
12f0c044,15
12f6c689,23
12f8b8b4,19
12fa13a4,65
12fc62eb,144
12fd1087,97
130b5f33,25
130c9d59,15
130e8e5c,89
1314eb7d,10
13197c88,61
1319ca13,138
131ce9da,33
131d32de,4
131ef60f,18
132021a6,58
132ad7d2,6
132f5ea5,24
13306012,43
133ca329,8
133d0ef9,91
13433d81,19
13448706,21
1344d71d,43
134a6251,11
134a6770,122
134cc999,337
1350f530,25
1351d590,21
135b27b1,109
135ff53c,584
1366239f,24
13676e7b,99
136c6d07,50
137556ca,6
137b7539,3
137b7e13,60
137dadc6,32
137eae7a,81
1382be37,37
13862626,27
1386c91c,36
13887ea8,79
1390f1a7,210
13911f9d,1236
139413d1,139
1399f441,12
13a06a6d,3
13a30fdd,3
13a3a89b,4
13a92035,28
13aaffaa,9
13ab1606,17
13af73ed,55
13b0c056,7
13b384e6,65
13b585a9,9
13b62b0b,138
13b74a0a,10
13bc6fbd,273
13bd3327,26
13be7958,49
13bf9db2,65
13c1b0bc,6
13c43d7a,62
13c53387,11
13cab877,15
13cbae6b,95
13cd8455,28
13d08bf1,59
13d219a4,61
13d7d282,1
13daf1fe,17
13dc1b0a,52
13df6797,3
13e693ec,21
13ebb23c,28
13ed5ef7,15
13ed62ba,36
13ed7e9f,55
13f21b7c,2
13f6bffd,8
13f9b129,11
13fb0b13,47
13fcda36,136
14049e33,63
140942ef,46
140cf28f,61
140d5be2,13
140e4567,15
141bdcf7,6
141c6c12,17
141f14cf,73
1420b976,3
1420e66c,53
14236e1a,4
1423a5b6,7
142440ff,267
1427c16a,61
1428939e,18
142a5255,10
142bbc63,4
142c4c5d,30
14329314,27
14330083,16
1433e8d6,30
14388b9d,22
143d259a,7
14406b89,2
144305f1,81
1443cf62,56
1444eb56,1000
144b9dbe,5
1450394f,12
14564ac1,20
145786f1,9
1458da47,44
145c074c,220
145cafa4,13
145db8d5,9
145e8517,4
14609f3c,84
1460e90f,51
14625960,85
146fe352,13
147192f9,70
147437b1,9
14786092,4
1478fe6f,68
147a01ca,125
147ff611,53
148165b8,3
148483a2,34
148b3f9e,66
148ce80b,25
148e6056,101
1491307b,26
14987410,25
149cccc2,120
149d7830,37
149e2ab3,56
14a0adf2,4
14a17016,232
14aa17b5,35
14ac9a7a,37
14adeeb6,6
14b3f828,7
14b6c362,71
14bed403,474
14c162d6,2
14c43bb8,69
14c470a9,6
14c48dd4,116
14cbdccf,4
14ccdf7e,213
14d746e3,27
14d76999,12
14db5ee5,67
14dc1d45,42
14ddc0c0,3
14e1a1d2,32
14e71c4a,4
14e8a4e4,73
14eabc89,13
14f0db85,13
14f63712,13
14f8b621,4
14f93526,10
1501fa2c,2
15051962,19
1508424b,58
150d41f6,63
150dfa29,28
1512008a,98
15135e58,160
15146556,23
15184381,4
151e83f1,16
152312a5,408
15252ed1,8
152d9ee1,11
152da050,3
152de390,57
152fad59,406
1530d5e9,6
153264df,12
15344c67,33
15378f69,9
1537b525,91
1539fb57,41
153ad25c,40
153c09a2,7
15402892,23
1540855b,7
154295df,25
15438015,33
1547f96a,61
154a12cb,19
154d2935,1
154ed444,158
154f76da,40
15553b98,130
155b689a,20
155bdcc9,4
155edf01,22
156017af,4
15609803,4
1563e01c,15
15653aac,13
156558a3,9
1565bdb6,42
1569bc40,10
1569e2f5,32
156e14f5,100
1576790c,11
157a7e61,22
157aa859,6
157b5f88,13
157ceb29,35
15816667,11
1582af5b,54
1586dd04,4
158efe1b,4
158f89b2,80
158fb93c,53
159015d2,12
15918857,68
1591e04e,26
15923935,81
159980fe,13
159b51c8,47
15a387cc,42
15a4c5e4,8
15a7327c,7
15a77fe2,3
15a97b2b,6
15aa2fa1,13
15aa98cc,13
15ad77ac,3
15b26774,139
15b8298d,18
15c4d097,20
15c94a3e,56
15ca67ea,8
15cb8c7f,58
15d0c7ef,3
15d8ec75,5
15df3d2e,25
15e1b852,17
15ed28c8,232
15f1131a,13
15f57ff0,41
15f5d488,59
15fa2c63,13
15fcd3fe,4
15fce93c,4
15fe3f67,23
16004086,146
16078864,158
16089c5e,23
160a8a01,375
160b86b0,8
160f3acb,140
160fcfa0,401
160ff3ae,4
16116d87,82
161c1a0a,4
161d6f21,92
16240ed7,75
162c0bea,66
1630bd1c,32
1631b118,33
1640c172,28
16419bea,3
16456376,7
164b5b3a,4
164d9c40,32
164dae47,49
164fc99d,19
164fe220,179
1651493d,48
165a5bed,17
165b8c0e,32
1661d9f9,82
16629059,49
16631198,5
1667e54b,20
166a19f7,40
166bf528,68
166de534,156
1670528f,215
1676745c,21
1676e1fd,11
1678f546,80
167a0f56,13
167d49bc,93
167ea21d,25
167f05cb,15
16826633,4
168ccb5e,10
168ec5be,93
16901728,48
169956b0,877
169b2565,75
169d9534,169
16a20158,135
16a27ca9,12
16a4ea6f,9
16a63ce1,8
16a86a89,6
16a9bc6a,24
16aa53a8,58
16b016b7,6
16b23507,5
16b7d648,11
16b8893b,2
16b88e6a,152
16b8baba,4
16b95965,3
16be8213,34
16c077f4,13
16c08c9a,64
16c3469d,12
16c3a824,156
16c7826d,32
16cd15dc,103
16ce414c,45
16d229c1,69
16d284c9,15
16d494cd,342
16d8a2d0,8
16d8c2b9,15
16dab71b,308
16dc64b4,14
16e04fab,8
16ed1447,17
16ef647b,42
16ef9f73,130
16f12a89,61
16f9d2df,15
16fa761a,359
16fdb748,8
16ff970c,43
17005690,60
1701df54,40
170b5fbd,34
170db78d,34
17150123,118
17176643,87
171b3dd9,11
1721b079,6
